First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Brian,Fallon,"Director, Office of Public Affairs",2,Obama
John,Falvey,Assistant United States Attorney,6,Clinton
Lily,Farel,Trial Attorney ,6,"Obama, Bush II"
Anthony ,Farley ,Assistant United States Attorney ,3,Bush I
Elizabeth ,Farr,"Senior Advisor to the Assistant Attorney General, Criminal Division",21,"Obama, Bush II, Clinton, Bush I"
Charles,Fash,Trial Attorney,4,Reagan
J Michael,Faulkner,Assistant United States Attorney,30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Donald,Fay,"Chief, Appeals Division, United States Attorney's Office District of NJ ",8,"Reagan, Carter"
Robert,Feinberg,"Deputy Chief, Organized Crime Drug Enforcement Task Force",5,"Clinton, Bush I"
Ira,Feinberg ,"Chief Appellate Attorney, SDNY",11,"Clinton, Bush I"
Jason,Feingold,Trial Attorney,4,Clinton
Howard,Feinstein,Trial Attorney ,11,"Reagan, Carter, Ford"
Richard,Feinstein,"Acting Assistant Chief, Energy Section, Antitrust Division",8,"Reagan, Carter, Ford"
Robert,Feitel,Deputy Chief,22.5,"Bush II, Clinton, Bush I, Reagan"
Jonathan S.,Feld,Associate Deputy Attorney General,8,"Bush I, Reagan"
James,Feldman,Assistant to the Solicitor General,17,"Bush II, Clinton, Bush I"
Cary,Feldman,Assistant United States Attorney,7,"Reagan, Carter"
CHARLES W,FELS,Assistant United States Attorney,5,"Reagan, Ford"
Adam,Fels,Senior Trial Attorney,16,"Trump, Obama, Bush II"
Kathleen,Felton,"Deputy Chief, Criminal Appellate Section",35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
David,Feniger,Trial Attorney,7,"Bush II, Clinton"
Alan,Ferber,Attorney-Advisor for Emergency Planning,37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
James,Fergal,Assistant United States Attorney,3.5,Carter
Edward,Ferguson,"Deputy Chief, Civil Division, USAO/SDNY",6,"Bush I, Reagan"
Deborah,Ferguson,Assistant United States Attorney,21,"Obama, Bush II, Clinton, Bush I"
Albert,Ferlo,"Trial Attorney, ENRD",15,"Clinton, Bush I, Reagan, Carter"
Carole,Fernandez,Assistant United States Attorney,26,"Obama, Bush II, Clinton, Bush I, Reagan"
Teresa,Ferrante,Deputy Chief,3,Bush II
Philip ,Ferrari ,First Assistant United States Attorney,16,"Trump, Obama, Bush II"
Noel Anne,Ferris,Immigration Judge,28,"Obama, Bush II, Clinton, Bush I, Reagan"
Robert,Fettweis,"Chief, Criminal Division, District of NJ",10,"Reagan, Carter, Ford"
Denise,Field,Trial Attorney,4,"Reagan, Carter"
Frank,Figliuzzi,FBI Assistant Director,25,"Obama, Bush II, Clinton, Bush I"
Katharine ,Fincham,"Chief, Computer Crimes and Child Exploitation Unit",20,"Obama, Bush II, Clinton"
Laurence,Finegold,Executive Assistant United States Attorney,4,"Ford, Nixon"
Robert,Finkelstein,District Counsel of Baltimore INS Office,26,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Jane Adams,Finn,Special Assistant to the Attorney General,6,"Nixon, Johnson"
Daren,Firestone,Trial Attorney,6,"Obama, Bush II"
Louis ,Fischer ,"Senior Attorney, Appellate Section, Criminal Division, DOJ",30,"Bush II, Clinton, Bush I, Reagan, Carter"
David,Fishback,"Assistant Director, Torts Branch, Civil Division",30,"Obama, Bush II, Clinton, Bush I, Reagan"
Eric,Fisher,Assistant United States Attorney,3,"Bush II, Clinton"
Walter,Fisherow,Section Chief,29,"Obama, Bush II, Clinton, Bush I"
Paul,Fishman,"United States Attorney, DNJ",22,"Trump, Obama, Clinton, Bush I, Reagan"
Michael,Fitzgerald,ATF Director- Chicago Field Division,43,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Helen,Fitzgibbon,Assistant United States Attorney,22,"Trump, Obama, Bush II, Clinton"
Joyce,Fitzpatrick,Assistant United States Attorney,6,"Bush I, Reagan"
Rick,Flam,Assistant United States Attorney,3.5,"Reagan, Carter"
Catherine,Flanagan,Trial Attorney,7,"Clinton, Bush I"
Norajean,Flanagan,"Deputy Chief, Criminal Section, Civil Rights Division ",16,"Clinton, Bush I, Reagan, Carter"
John,Flannery,"Assistant United States Attorney, SDNY",5,Nixon
John,Fleder,"Director, Office of Consumer Litigation",20,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Elizabeth,Fleming,"Assistant United States Attorney, ED MI Detroit ",7,"Clinton, Bush I"
Cathy,Fleming,"Acting Chief and Deputy Chief, Special Prosecutions ",5,"Bush I, Reagan"
George,Fleming,Trial Attorney,5,"Ford, Nixon"
Mark,Flessner,Assistant United States Attorney,12,"Bush II, Clinton, Bush I, Reagan"
Carole,Florman,"Deputy Director, Office of Public Affairs",5.5,Clinton
Bobbi,Flowers,Assistant United States Attorney,5,"Bush II, Clinton"
Diana,Flynn,"Chief, Appellate Section, Civil Rights Division",33.5,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Thomas,Flynn,Chief of Appeals,25,"Obama, Bush II, Clinton, Bush I, Reagan"
Peter,Flynn,Senior Attorney ,30,"Trump, Obama, Bush II, Clinton, Bush I"
David,Fogel,Assistant United States Attorney - Colorado ,2,Johnson
Matthew,Fogelson,Trial Attorney ,8,"Bush II, Clinton"
Philip,Foglia,Special Assistant US Attorney ,4,Reagan
Frances ,Foltz Kane,Trial Attorney,15,"Bush I, Reagan, Carter"
George,Fong,Unit Chief,26,"Obama, Bush II, Clinton, Bush I"
Carla ,Ford,Assistant United States Attorney ,18,"Obama, Bush II, Clinton, Bush I"
Daniel,Forman,Assistant United States Attorney,3,"Reagan, Carter"
Jonathan,Forman,Trial Attorney,4,"Reagan, Carter"
Lisa,Foster,"Director, Office for Access to Justice",3,Obama
M. Christine,Fotopulos,Trial Attorney and Attorney-Advisor,10,"Bush II, Clinton"
Robert,Fourr,Assistant United States Attorney ,7,"Reagan, Carter"
Steven,Frahm,"Chief, Court of Federal Claims Section, Tax Division",32,"Bush II, Clinton, Bush I, Reagan, Carter"
George,Frampton,"Assistant Special Prosecutor, Waterage Special Prosecution Force",3,"Ford, Nixon"
Jonny,Frank,Executive Assistant United States Attorney,12,"Clinton, Bush I, Reagan"
Robert,Frantz,Trial Attorney,3,Carter
Sharon,Frase,"Assistant United States Attorney, SDNY",3.5,"Obama, Bush II"
Brin,Frazier,Chief Speechwriter to the Attorney General,3,Obama
Ayana,Free,Assistant United States Attorney for the Eastern District of Virginia,4,"Trump, Obama"
Laurence,Freedman,"Assistant Director, Fraud Section, Civil Division ",14,"Bush II, Clinton, Bush I"
Carol,Freeman,Assistant United States Attorney,4,"Johnson, Kennedy"
William,Freeman,Trial Attorney,3,"Reagan, Carter"
Mary Ann,French,Lead Intelligence Reseach Analyst,35,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Susan,French,Senior Special Counsel for Human Trafficking,24,"Obama, Bush II, Reagan, Carter"
Andrew,Frey,Deputy Solicitor General,14,"Reagan, Carter, Ford, Nixon"
Kimberly,Friday,Deputy Civil Chief,10,"Trump, Obama"
Alan,Friedman,"Special Assistant Attorney General, Criminal Division, Organized Crime Strike Force 18",3,"Nixon, Johnson"
Frank ,Friedman ,Trial Attorney,3,"Nixon, Johnson"
Naana,Frimpong,Assistant United States Attorney,4,Obama
Andrew,Frisch,Senior Litigation Counsel ,11,"Bush II, Clinton"
Amanda,Frizzelle,Trial Attorney,2,Obama
Henry ,Frohsin ,"First Assistant United States Attorney, ND Alabama",15,"Reagan, Carter, Ford, Nixon"
Steven,Froot,"Deputy Chief of Appeals, Civil Division, SDNY",6,"Clinton, Bush I"
William L.,Fry,"Trial Attorney (Great Lakes Field Office, Antitrust Division)",4,Nixon
Roger ,Frydrychowski ,Assistant United States Attorney,10,"Clinton, Bush I, Reagan"
Mary Catherine,Frye,"Chief, Civil Division",21,"Obama, Bush II, Clinton"
Stephen,Fuerth,Chief civil trial section,32,"Clinton, Bush I, Reagan, Carter, Ford, Nixon, Kennedy"
Jessica,Fugate,Office Assistant,1.5,Bush II
James,Fujimoto ,Immigration Judge ,29,"Trump, Obama, Bush II, Clinton, Bush I"
Mary,Fulginiti,Assistant United States Attorney,5,"Clinton, Bush I"
Christopher C.,Fuller,"Deputy Chief, National Security Unit, Civil Div.",22,"Trump, Obama, Bush II, Clinton"
Ronald L,Futterman,Trial Attorney,5.5,"Nixon, Johnson"
Robert,Gaffey,"Assistant United States Attorney, SDNY",4,Reagan
Robert,Gallagher,Senior Trial Attorney,3,Nixon
Gregory,Gallagher,"Acting Chief, Tax Division, Southern Criminal Enforcement Section",30,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Mark,Gallant,"Senior appellate counsel, civil Division appellate staff",10,"Reagan, Carter, Ford"
Joel,Gallay,"Trial Attorney, Criminal Division",2,Nixon
Brian,Galle,Attorney,3,Bush II
Harriett,Galvin,Assistant United States Attorney,27,"Obama, Bush II, Clinton, Bush I"
Thomas,Gannon,"Trial Attorney, Criminal Appellate, DOJ",17,"Bush II, Clinton, Bush I"
Douglas,Gansler,Assistant United States Attorney,6,"Obama, Bush II"
Marc,Garber,Assistant United States Attorney,9,"Bush II, Clinton, Bush I"
Paul,Garcia,Assistant United States Attorney,5,Clinton
Lynda,Garcia,Trial Attorney,2.5,"Trump, Obama"
Kay,Gardiner,"Deputy Chief, Civil Division, SDNY",12,"Clinton, Bush I"
Cecilia,Gardner,Assistant United States Attorney,14,"Bush II, Clinton, Bush I, Reagan"
William,Gardner,"Chief, Criminal Section, Civil Rights Division",8,"Reagan, Carter, Ford, Nixon"
Phyllis,Gardner,"Executive Officer, Civil Div. & ENRD",13,"Clinton, Bush I, Reagan, Carter"
Patricia,Garner,Assistant United States Attorney,6,"Carter, Ford"
Michael,Garofola,Assistant United States Attorney,4,Obama
Lenore,Garon,Trial Attorney,7,"Reagan, Carter, Ford"
Timothy,Garren,"Acting Deputy Assistant Attorney General, Civil Division",28,"Obama, Bush II, Clinton, Bush I, Reagan"
Katherine,Garrett,Deputy Assistant Attorney General/Chief of Staff,4,Clinton
James,Garrett,Assistant United States Attorney/Sr. Litigation Counsel,36,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Allan,Garten,"Chief, White Collar Crimes",20,"Obama, Bush II, Clinton"
Geoffrey,Garver,"Acting Assistant Chief, ENRD",9,"Clinton, Bush I"
Robert ,Gary,"Deputy Chief, Clevland Strike Force Force",4,"Nixon, Johnson"
Shimica,Gaskins,"Acting Deputy Assistant Attorney General, Office of Legal Policy ",5,Obama
Stuart,Gasner,Assistant United States Attorney,4,Bush I
Anna-Marie Kilmade,Gatons,"Director, Executive Secretariat",9,"Bush II, Clinton"
Don,Gehring,Trial Attorney,4,"Carter, Ford, Nixon"
Stacey,Geis,Assistant United States Attorney,10,"Obama, Bush II"
Jacques,Gelin,Trial Attorney,30,"Reagan, Carter, Ford, Nixon, Johnson"
Kenneth S.,Geller,Deputy Solicitor General,13,"Reagan, Carter, Ford, Nixon"
Gerald,George,Senior Lawyer,25,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Elizabeth Sarah,Gere,"Senior Trial Counsel, DOJ Civil Division",12,"Reagan, Carter, Ford"
John,Germeraad,"Trial Attorney, Assistant United States Attorney",11,"Carter, Ford, Nixon"
Stuart,Gerson,Acting Attorney General; Assistant Attorney General,7,"Bush I, Nixon"
Sharon,Gervasoni,Assistant General Counsel,31,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Avi,Gesser,"Counsel to the Chief, Fraud Section, Criminal Division",3,Obama
Elyssa,Getreu,Assistant United States Attorney,5,Bush II
Julia,Getzels,Assistant United States Attorney,7,"Clinton, Bush I"
Diane F,Giacalone,"Chief, Public Corruption Unit, EDNY",11,"Reagan, Carter"
Michelle,Giard Draeger,Assistant United States Attorney ,2,Obama
John,Gibbons,Assistant United States Attorney,6,"Clinton, Bush I, Reagan"
Stuart,Gibson,"Senior Litigation Counsel, Tax Division",29,"Obama, Bush II, Clinton, Bush I, Reagan"
Larry,Gibson,Associate Deputy Attorney General,2,Carter
Martha (Meg),Gifford,"Trial Attorney, Antitrust Division",6,"Bush I, Reagan"
Edward Scott ,Gilbert,"Assistant United States Attorney, SDNY",5,"Bush I, Reagan"
Cynthia,Giles,Assistant United States Attorney ,6,"Bush I, Reagan"
Barbara,Gillers,"Assistant U.S. Attorney, Southern District of New York",5,"Reagan, Carter"
Kira,Gillespie,Attorney Advisor,9,"Trump, Obama"
Ernestine,Gilpin,"Associate Director, Office of International Affairs",17,"Bush II, Clinton, Bush I"
Peter,Ginsberg,Assistant United States Attorney,7,"Bush I, Reagan"
Gail,Ginsberg ,Assistant United States Attorney ,11.5,"Bush I, Reagan, Carter"
John,Giraudo,Attorney Advisor ,3,Reagan
Nancy,Gist,"Director, Bureau of Justice Assistance",6,Clinton
Precious ,Gittens ,Assistant United States Attorney ,5,Bush II
Karma ,Giulianelli,"Trial Attorney, Antitrust Division ",4,Clinton
Grace,Glasgow,"Attorney Advisor, OIPR; Acting Unit Chief, FBI",5,"Obama, Bush II, Clinton"
Anthony,Glassman,Assistant United States Attorney,3,Johnson
Eileen,Gleason,Executive Assistant United States Attorney,25,"Obama, Bush II, Clinton, Bush I, Reagan"
Paul,Glickman ,"Trial Attorney, Criminal Division",9,"Bush I, Reagan"
Richard,Glovsky,"Chief, Civil Division, United States Attorney’s Office for the District of Massachusetts ",7,"Carter, Ford, Nixon"
Aitan,Goelman,Trial Attorney DOJ; Assistant U.S. Attorney SDNY,9,"Bush II, Clinton"
Lisa,Gok,Assistant United States Attorney (D.C. office) ,8,"Clinton, Bush I, Reagan"
Aron,Golberg,Trial Attorney ,4,Reagan
Sarah,Gold,Assistant United States Attorney SDNY,8,"Reagan, Carter, Ford"
Michael,Gold,Assistant United States Attorney EDNY,6,Reagan
Steve,Gold,"Senior Attorney, Environment & Natural Resources Division",19,"Bush II, Clinton, Bush I, Reagan"
Joshua,Goldberg,"Assistant United States Attorney, SDNY",8,"Obama, Bush II"
Lauren,Goldberg,"Assistant United States Attorney, Chief of Narcotics and Senior Trial Counsel",9,"Obama, Bush II, Clinton"
Daniel,Goldberg,"Chief of Staff, Office of Legislative Affairs",3,Obama
Arthur,Goldberg,Assistant Branch Director,32,"Obama, Bush II, Clinton, Bush I, Reagan"
David,Goldberg,Assistant United States Attorney,6,"Bush II, Clinton"
Richard ,Goldberg,"Chief of Trials, US Attorneys Office, Philadelphia",27,"Trump, Obama, Bush II, Clinton, Bush I"
Ronald,Goldfarb,Special Assistant to Robert F. Kennedy,4,Kennedy
Dan,Goldfine,Trial Attorney ,8,"Clinton, Bush I"
Joan,Goldfrank,"Deputy Attorney, Professional Responsibility Advisory Office",8,"Bush II, Clinton"
Beth,Goldman,"Deputy Chief, Civil Division, SDNY",15,"Obama, Bush II, Clinton"
Daniel,Goldman,Assistant United States Attorney,10,"Trump, Obama, Bush II"
Greer,Goldman,"Principal Assistant Section Chief , ENRD",15,"Bush II, Clinton, Bush I, Reagan"
Anne,Goldstein,"Trial Attorney, Honors Program",3,Reagan
Janet,Goldstein,Assistant United States Attorney,10,"Reagan, Carter"
Jared,Goldstein,"Trial Attorney, Appellate Section, ENRD",5,"Bush II, Clinton"
Yonkel,Goldstein,Assistant United States Attorney,6,"Bush II, Clinton"
James,Goldston,"Assistant United States Attorney, SDNY",5,"Clinton, Bush I"
Alan,Goldston,Special Assistant United States Attorney (SDNY),4,Carter
Katherine,Goldwasser,Assistant United States Attorney,4,"Reagan, Carter"
Alberto ,Gonzalez ,U.S. Immigration Judge,17,"Bush II, Clinton, Bush I, Reagan"
Robert,Goodman,Trial Attorney,2.5,Bush I
Hilary ,Goodman,"Attorney, Board of Immigration Appeals",12,"Obama, Bush II"
Mark,Goodman,"Assistant United States Attorney, SDNY",3,Clinton
Robert ,Goodman ,"Deputy Chief, Criminal Division, District of New Jersey",6,"Reagan, Carter"
Catharine,Goodwin,Assistant United States Attorney,15,"Bush II, Clinton, Bush I, Reagan"
Robert,Goodwin,Special Agent in Charge - Office of the Inspector General - Investigations Division - New York Field Office,19,"Bush II, Clinton, Bush I, Reagan"
Richard,Gordin,"Assistant United States Attorney, DDC",5,"Reagan, Carter"
Denis,Gordon,"Deputy Section Chief, CRD",8,"Ford, Nixon, Johnson"
George I.,Gordon,"Chief Appellate Attorney, SDNY ",4,Kennedy
Alex,Gordon,Assistant United States Attorney,9,"Obama, Bush II"
Elaine,Gordon,Trial Attorney,3,Reagan
G.G.,Gordon,Supervisory AUSA,27,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Daniel,Gordon,Trial Attorney,5,"Bush II, Clinton"
Jerry,Goren,"Assistant United States Attorney; Special Assistant to the Assistant Attorney General, Criminal Division",8,"Reagan, Carter"
Hays,Gorey ,Senior Trial Attorney,42,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Kieran,Gostin,Trial Attorney,3,Obama
Jon,Gould,Senior Policy Advisor ,1,Obama
Francis,Gould,Line Attorney,5,"Reagan, Carter"
Eric,Goulian,"Deputy Criminal Chief, EDNC",30,"Trump, Obama, Bush II, Clinton, Bush I"
STUART,GRABOIS,Assistant United States Attorney,21,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Mary,Grad,Assistant United States Attorney,28,"Obama, Bush II, Clinton, Bush I, Reagan"
Andrew,Gradman,Special Assistant United States Attorney,1,Obama
Stephen,Graeff,Trial Attorney/Special Assistant United States Attorney,3,Carter
Stephen,Grafman,Assistant US Attorney for the District of Columbia,4,Nixon
Douglas ,Graham,Assistant United States Attorney,7,"Ford, Nixon"
Jane ,Graham,"Civil Chief, E.D. Ky",21,"Bush II, Clinton, Bush I, Carter"
Raymond,Granger,Assistant United States Attorney,6,"Clinton, Bush I"
Jennifer,Granholm,Assistant United States Attorney,4,Bush I
Lisa,Graves,Deputy Assistant Attorney General,6,"Bush II, Clinton"
Gary,Gray,"Assistant Chief, Appellate Section, Tax Division ",15,"Clinton, Bush I, Reagan, Carter"
Susan,Gray,Assistant United States Attorney,28,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Peter,Gray,Deputy Chief,9,"Trump, Obama, Bush II"
Peter ,Gray ,Trial Attorney ,26,"Obama, Bush II, Clinton, Bush I"
Thomas,Greaney,Assistant Chief,9,"Bush I, Reagan, Carter"
Lisa A. ,Green,Assistant United States Attorney ,6.5,"Bush II, Clinton"
Carol,Green,Assistant Section Chief,8,"Bush I, Reagan"
Richard F.,Green,"Trial Attorney, Criminal Division",11,"Reagan, Carter, Ford, Nixon"
James,Green,Special Assistant United States Attorney ,35,"Bush II, Clinton, Bush I, Reagan"
Iris McCollum,Green,Senior Trial Attorney ,11,"Bush I, Reagan, Carter"
David,Green,"Deputy Chief, Computer Crime and Intellectual Property Section, Criminal Division",16,"Bush II, Clinton, Bush I, Reagan"
Richard,Green,Trial Attorney,5,"Nixon, Johnson"
Stanley,Greenberg,Assistant United States Attorney,3,Nixon
Marc,Greenberg,Assistant United States Attorney,10,"Clinton, Bush I"
Marc,Greenberg,Assistant United States Attorney,10,"Clinton, Bush I"
Stephen M.,Greenberg,"Executive Assistant United States Attorney, District of NJ",2,Nixon
Michael,Greenberger,Principal Deputy Associate Attorney General,2,"Clinton, Nixon"
Paul,Greenberger,Trial Attorney,1,"Ford, Nixon"
Carlton,Greene,Trial Attorney,3,Bush II
Helaine,Greenfeld,Counselor to the Attorney General,12,"Obama, Clinton"
Kate,Greenquist ,LECC Manager,19,"Trump, Obama, Bush II, Clinton, Bush I"
Norman,Greenspan,Assistant United States Attorney,6,"Carter, Ford, Nixon"
Marc,Greenwald,Assistant United States Attorney,4.5,"Bush II, Clinton"
Margaret,Griffey,"Chief, Capital Case Unit",13,"Obama, Bush II, Clinton"
Lisa,Griffin,Assistant Counsel Office of Professional Responsibility,27,"Obama, Bush II, Clinton"
James ,Griffin ,Deputy Assistant Attorney General ,27,"Bush II, Clinton, Bush I, Reagan, Carter"
Barry,Grissom,United States Attorney ,6,Obama
Monica,Groat,Trial Attorney,3,"Trump, Obama"
Adam,Grogg,Trial Attorney,3.75,"Trump, Obama"
James,Gross,Trial Attorney,14,"Clinton, Bush I, Reagan"
Joel,Gross,Section Chief,17,"Clinton, Bush I, Reagan"
Mark.,Gross,"Deputy Chief, Appellate Section, Civil Rights Division",44,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Mark,Gross,"Deputy Chief, Appellate Section, Civil Rights Division ",44,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Barry,Gross ,"Assistant United States Attorney, E.D. Pa. ",24,"Bush II, Clinton, Bush I, Reagan"
David,Grossman,Assistant Special Agent in Charge—FBI,21,"Clinton, Bush I, Reagan, Carter"
Andrew,Grosso,Assistant United States Attorney,10,"Clinton, Bush I, Reagan"
Douglas,Grover,"Deputy Chief, Brooklyn Organized Crime Strike Force ",10,"Bush I, Reagan, Carter"
Robert,Grueneberg,Assistant United States Attorney,7,"Reagan, Carter"
Paul,Grussendorf,Immigration Judge,7,"Bush II, Clinton"
Lloyd,Guerci,"Assistant Section Chief, Environmental Enforcement Section.",12,"Reagan, Carter, Ford, Nixon"
Nicole,Gueron,Assistant United States Attorney,8,"Bush II, Clinton"
Mark,Guerrero,Assistant United States Attorney,5,"Trump, Obama"
Jamie,Guerrette,Assistant United States Attorney,5,"Trump, Obama, Bush II"
Joseph,Guerrieri,Assistant United States Attorney for the District of Columbia,5,"Carter, Ford, Nixon"
Samidh,Guha,Assistant United States Attorney - SDNY,4,Bush II
Anne,Gulyassy,"Deputy General Counsel, FBI",33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Patricia C.,Gunn,Senior Trial Attorney,11,"Bush I, Reagan, Carter"
Emily,Gunston,Deputy Chief,9,"Trump, Obama"
Vanita,Gupta,Head of the Civil Rights Division ,2.5,Obama
William,Gurin,"Assistant United States Attorney, Deputy Bureau Chief",16,"Obama, Bush II"
Edward,Gurinsky,"Special Agent Attorney, FBI",30,"Clinton, Bush I, Reagan, Carter"
Jimmy,Gurule,Assistant Attorney General,8,"Bush I, Reagan"
Sally,Gustafson Garratt,Assistant United States Attorney,13,"Clinton, Bush I, Reagan"
Linda,Gustitus,Trial Attorney,2,Carter
Robert ,Guthrie,First Assistant United States Attorney ,33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Jeffrey ,Gutman,"Trial Attorney, Civil Division, Federal Programs Branch",6.6,"Clinton, Bush I"
Anna,Gwinn,"Civil Chief, USAO EDKY",13,"Obama, Bush II"
David,Haas,Assistant United States Attorney,10,"Obama, Bush II"
Steven,Haber,"Chief Appellate Attorney, Civil Division, SDNY",10,"Clinton, Bush I"
Elizabeth,Hack,Special Litigation Counsel,16,"Obama, Bush II, Clinton, Bush I"
David,Hackney,Assistant United States Attorney,11,"Bush II, Clinton"
William,Hackworth,Trial Attorney,3,"Carter, Ford"
Beverly,Hadley,Senior Trial Attorney,10,"Bush II, Clinton, Bush I"
Laura,Hadman,Assistant United States Attorney,4,"Reagan, Carter"
Fred,Hafetz,"Chief of Criminal Division, SDNY ",3,"Carter, Nixon"
Marie Louise,Hagen,Senior Trial Counsel,20,"Clinton, Bush I, Reagan"
Linda,Hagerty,"Trial Attorney, Civil Rights Div.",6,"Reagan, Carter"
Tracy,Hahn-Burkett,Attorney-Advisor,1,Clinton
Roger,Haines,"Chief, Appellate Section, S.D. California",29,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
James,Hair,"Attorney, Civil Division, Appellate Section",5,"Nixon, Johnson"
Hunter,Hale,Trial Attorney,5,"Reagan, Carter"
Matthew,Hall,Trial Attorney,2,"Bush II, Clinton"
David ,Hall,Assistant United States Attorney,23,"Obama, Bush II, Clinton, Bush I"
Clark,Hall,"Supervisory Special Agent, FBI",17,"Reagan, Carter, Ford, Nixon"
Judy,Hallford,Management Analyst,36,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Lorraine,Halloway,Trial Attorney,4,"Reagan, Carter"
Jason P.W. ,Halperin,"Assistant United States Attorney, SDNY",11,"Obama, Bush II"
Kathleen,Hamann,Trial Attorney,7.5,"Obama, Bush II"
Mervyn,Hamburg,Deputy Chief of Appeals,41,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Amy,Hamilton,Drug Abuse Program Coordinator,20,"Trump, Obama, Bush II, Clinton"
Robert,Hammel,Assistant United States Attorney (SDNY),4.5,"Bush I, Reagan"
Denise Cafaro,Hammond,Trial Attorney,3,"Reagan, Carter"
Scott,Hammond,Deputy Assistant Attorney General,25,"Obama, Bush II, Clinton, Bush I"
Kenneth V.,Handal,"Assistant United States Attorney, SDNY",5,"Reagan, Carter"
Melodee,Hanes,Acting Administrator of Office of Juvenile Justice and Delinquency Prevention,5,Obama
John,Hanify,Assistant United States Attorney,2,Carter
Jeffrey,Hansen,Assistant United States Attorney,8,"Trump, Obama"
John,Hanson,Trial Attorney,6,"Carter, Ford, Nixon"
Tom,Hanusik,Assistant Chief,7.75,"Bush II, Clinton"
Md Ehteshamul,Haque,Attorney-Advisor,2,Obama
Mark,Hardiman,Assistant United States Attorney,8.5,"Clinton, Bush I"
Pauline,Hardin,First Assistant United States Attorney ,9,"Reagan, Carter"
Mary,Harkenrider,"Counsel to Ass't Attorney General, Criminal Division",11,"Clinton, Bush I, Reagan"
Kenneth,Harmon,Assistant United States Attorney,28,"Trump, Obama, Bush II, Clinton, Bush I"
Michael,Harmonis,Trial Attorney USDOJ/antitrust Division,33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Sarah,Harrington,Assistant to the Solicitor General,19,"Trump, Obama, Bush II, Clinton"
Jeffrey,Harris,Deputy Associate Attorney General,7,"Reagan, Carter, Ford, Nixon"
Barbra K.,Harris,Assistant United States Attorney,5,Reagan
Kelly,Harris,Counterterrorism Crisis Management Coordinator,15,"Obama, Bush II"
Sherri Evans ,Harris,Executive Assistant United States Attorney for Management,14,"Bush II, Clinton, Bush I"
Adam,Harris,Trial Attorney,2,"Trump, Obama"
Marc ,Harris ,Assistant United States Attorney,8,"Clinton, Bush I"
Reese,Harrison,"Chief of Criminal Section, Western District of Texas",9,"Nixon, Johnson"
Bradley,Harsch,Assistant United States Attorney,5,"Obama, Bush II"
Gary,Hart,"Appellate Attorney, Internal Security/National Security Division",2,Kennedy
Ann,Harwood,First Assistant United States Attorney,23,"Trump, Obama, Bush II, Clinton"
Matthew,Haslinger,Trial Attorney,5,"Obama, Bush II"
George,Hastings,"Assistant Chief, Claims Court Section, Tax  Division",11,"Bush I, Reagan, Carter"
Allen,Hausman,Senior Litigation Counsel,40,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Jennifer,Haverkamp,Attorney Advisor,3,Bush I
Eric,Havian,Assistant United States Attorney,7,"Clinton, Bush I, Reagan"
Robert,Haviland,Assistant United States Attorney-in-Charge,38,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Roger,Hawke,"Assistant United States Attorney, SDNY",4,Johnson
Judith,Hawley,Assistant United States Attorney Western District of Wisconsin,4,Carter
George,Hay,Director of Economic Policy,7,"Carter, Ford, Nixon"
Kathryn ,Hayden,Assistant United States Attorney,3,Trump
Annette,Hayes,United States Attorney,23,"Trump, Obama, Bush II, Clinton"
Miriam,Hayward ,Immigration Judge,21,"Trump, Obama, Bush II, Clinton"
Seth,Heald,Trial Section Chief,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Nicole,Healy,Trial Attorney,7,"Clinton, Bush I"
Mark,Heaney,"Assistant Chief, Criminal Division U.S. Attorney's Office, C.D. Cal.",6,"Carter, Nixon"
