First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Jodi,Avergun,"Chief, Narcotic and Dangerous Drug Section, Criminal Division",17,"Bush II, Clinton, Bush I"
David,Axelrod,Assistant United States Attorney,8,"Bush I, Reagan"
Edna,Axelrod,"Chief, Appeals Division and Assistant United States Attorney",12,"Clinton, Bush I, Reagan, Carter"
David,Axelrod,Assistant United States Attorney,7,"Obama, Bush II"
Donald,Ayer,Deputy Attorney General,10,"Bush I, Reagan"
Alfred Baltazar (Balt),Baca,Senior Trial Attonrey ,15,"Obama, Bush II, Clinton, Carter"
Eric,Bachman,Special Litigation Counsel,5,Obama
Marion,Bachrach,"Chief of General Crimes, EDNY",6,"Reagan, Carter"
Rhonda,Backinoff,Assistant Director OLE,29,"Obama, Bush II, Clinton, Bush I, Reagan"
Susan,Badger,Assistant United States Attorney,31,"Trump, Obama, Bush II, Clinton, Bush I"
Bill,Baer,Acting Associate Attorney General,4,Obama
Miriam,Baer,Assistant United States Attorney - SDNY,5,"Bush II, Clinton"
Steven,Baer,"Senior Counsel, Environmental Enforcement Section,  ENRD",34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Michael,Bailie,"Director, Office of Legal Education, EOUSA",32,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Jackie,Baillargeon,"Attorney, Special Litigation Section",1,Clinton
Terry,Bain,Immigration Judge,25,"Trump, Obama, Bush II, Clinton"
Wayne,Baker,Assistant United States Attorney,6,Bush II
Robert,Baker,Senior Trial attorney,38,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Edward,Baker,Assistant United States Attorney,4,Obama
Robin,Baker,Assistant United States Attorney,10,"Bush II, Clinton"
Russell T.,"Baker, Jr.",United States Attorney for Maryland 1978-1981,8,"Reagan, Carter, Nixon"
Gregory,Baldwin,"Assistant U.S. Attorney, Chief Operation Greenback, S.D. Fla.",9,"Reagan, Carter, Ford"
Kenneth,Ballen,Assistant United States Attorney,6,Reagan
Rachel,Ballow,"Assistant United States Attorney, EDVa",20,"Bush II, Clinton, Bush I"
Richard,Banks,Assistant United States Attorney,11,"Clinton, Bush I, Reagan"
Leslie,Banks,Assistant United States Attorney,5,"Bush I, Reagan"
Jeremy,Barber,Assistant United States Attorney,8,"Obama, Bush II"
Norman,Barbosa,Assistant United States Attorney,15,"Trump, Obama, Bush II"
Caherine,Barbour,Case Manager,34,"Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
John,Barg,Assistant United States Attorney and DOJ Trial Attorney,10,"Reagan, Carter, Ford, Nixon"
Kenneth,Barish,Assistant United States Attorney ,5,Carter
Mel,Barkan,"Assistant United States Attorney,  SDNY, Assistant Chief of the Civil Division ",4,"Ford, Nixon"
Alison,Barkoff,"Special Counsel, Civil Rights Division",8,"Obama, Bush II"
Tamara,Barner,Assistant General Counsel,11,"Obama, Bush II"
Kenneth J. ,Barnes,Trial Attorney,7,"Reagan, Carter"
Ana,Barnett,Executive Assistant United States Attorney ,16,"Clinton, Bush I, Reagan, Carter"
Alan,Baron,Assistant United States Attorney,3,Johnson
Linda,Barr,"Deputy Chief, OCDETF",15,"Trump, Obama, Bush II"
